term,description
"Conservatoire (фр. консэрватуар, англ. конеээветуа), conservatorio (ит. консэрваторио)",консерватория
Conserver (фр. консэрвэ),"сохранить, удержать; en conservant (ан консэрван) - сохраняя, удерживая; en conservant Ie rythme (ан конеэрван лё ритм) - сохраняя ритм"
"Console (ит. консоле, фр. консоль, англ. кóнсоул)",исполнительский пульт в органе
"Consonance (фр. консонанс, англ. кóнсэнэнс), Consonantia (лат. консонанциа), Consonanza (ит. консонанца)","созвучие, согласие, консонанс"
Consort (англ. консот),небольшой инструментальный ансамбль в Англии
Contano (ит. контано),"считают (т. е. паузируют) - указание в партитуре для инструментов, которые молчат несколько тактов"
Contare (контарэ),"считать, соблюдать паузу"
"Contemplatif (фр. контанплятиф), Contemplative (англ, контэмплэтив), Contemplativo (ит. контэмплативо)",созерцательно
"Contemplation (фр. контанплясьон, англ. контемплэйшн), Contemplazione (ит. контэмплационэ)",созерцание
Contenu (фр. контэню),"затаенно, сдержанно"
Continuate (ит. континуатэ),"продолжайте, не изменяйте темпа"
Continue (ит. континуо),"постоянный, непрерывный, продолжительный"
Continuamente (континуамэнтэ),"постоянно, непрерывно; basso continuo (бассо континуо) - постоянный, непрерывный бас (цифрованный); moto continuo (мото континуо) - непрерывное движение"
